id,DEC_processed
301922000,live fish eel anguilla spp young eelsexceeding g exceeding g per unit aquaculture
301929010,live fish eel anguilla spp glass eel aquaculture
301929090,live fish eel anguilla spp
301931000,live fish carp cyprinus spp carassius spp ctenopharyngodon idellus hypophthalmichthys spp cirrhinus spp mylopharyngodon piceus catla catla labeo spp osteochilus hasselti leptobarbus hoeveni megalobrama spp crusian carp carassius spp
301939000,live fish carp cyprinus spp carassius spp ctenopharyngodon idellus hypophthalmichthys spp cirrhinus spp mylopharyngodon piceus catla catla labeo spp osteochilus hasselti leptobarbus hoeveni megalobrama spp
301940000,live fish atlantic pacific bluefin tuna thunnus thynnus thunnus orientalis
301950000,live fish southern bluefin tuna thunnus maccoyii
301992000,live fish yellow tail
301994010,live fish fry aquaculture
301994091,live fish red seabream pagrus major
301994099,live fish
301995000,live fish conger eel
301996000,live fish sharp toothed eel
301997000,live fish hagfish
301998000,live fish flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae
301999010,live fish true bass
301999020,live fish puffer
301999040,live fish rock fish including pacific ocean perch
301999051,live fish fry aquaculture
301999059,live fish
301999060,live fish mullet
301999070,live fish loach
301999080,live fish cat fish
301999091,live fish rock trout hexagrammos spp agrammus spp
301999092,live fish crusian carp cyprinus spp
301999095,live fish croaker
301999099,live fish
302110000,fish fresh chilled excluding fish fillet fish meat heading salmonidae excluding edible fish offal subheading salmonidae excluding edible fish offal subheading trout salmo trutta oncorhynchus mykiss oncorhynchus clarki oncorhynchus aguabonita oncorhynchus gilae oncorhynchus apache oncorhynchus chrysogaster
302130000,fish fresh chilled excluding fish fillet fish meat heading salmonidae excluding edible fish offal subheading salmonidae excluding edible fish offal subheading pacific salmon oncorhynchus nerka oncorhynchus gorbuscha oncorhynchus keta oncorhynchus tschawytscha oncorhynchus kisutch oncorhynchus masou oncorhynchus rhodurus
302140000,fish fresh chilled excluding fish fillet fish meat heading salmonidae excluding edible fish offal subheading salmonidae excluding edible fish offal subheading atlantic salmon salmo salar danube salmon hucho hucho
302190000,fish fresh chilled excluding fish fillet fish meat heading salmonidae excluding edible fish offal subheading salmonidae excluding edible fish offal subheading
302210000,fish fresh chilled excluding fish fillet fish meat heading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading halibut reinhardtius hippoglossoides hippoglossus hippoglossus hippoglossus stenolepis
302220000,fish fresh chilled excluding fish fillet fish meat heading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading plaice pleuronectes platessa
302230000,fish fresh chilled excluding fish fillet fish meat heading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading sole solea spp
302240000,fish fresh chilled excluding fish fillet fish meat heading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading flat fish pleuronectidae bothidae cynoglossidae soleidae scophthalmidae citharidae excluding edible fish offal subheading turbot psetta maximum
